Country,Confirmed_Cases,Suspected_Cases,Hospitalized,Travel_History_Yes,Travel_History_No
England,183,0,5,2,7
Portugal,100,0,0,0,34
Spain,136,66,10,2,0
United States,19,0,2,9,0
Canada,27,36,1,0,0
Sweden,4,0,0,0,0
Italy,20,2,13,9,0
France,17,0,1,1,1
Belgium,9,0,2,1,0
Australia,2,0,1,2,0
Germany,38,7,12,8,1
Netherlands,26,6,0,1,0
Israel,2,1,3,3,0
Switzerland,4,0,0,3,0
Greece,0,0,1,1,0
Austria,1,0,1,0,0
Argentina,2,0,0,2,0
Denmark,2,0,0,2,0
Morocco,0,0,0,0,0
Slovenia,2,0,0,2,0
Scotland,4,0,1,1,0
Czech Republic,5,0,1,1,0
United Arab Emirates,4,0,0,1,0
Finland,1,0,0,1,0
Wales,1,0,0,0,0
Northern Ireland,2,0,0,0,0
Sudan,0,1,0,0,0
Bolivia,0,1,1,0,0
Iran,0,3,0,0,0
Ecuador,0,0,0,0,0
Malta,1,0,0,1,0
Ireland,2,0,0,0,0
Mexico,1,0,0,1,0
Pakistan,0,1,1,0,0
French Guiana,0,2,0,0,0
Thailand,0,0,0,0,0
Peru,0,0,1,1,0
Brazil,0,3,0,1,0
Malaysia,0,0,0,0,0
Hungary,1,0,0,0,0
Norway,1,0,0,1,0
