Time Period,GDP Growth
/01/2020,0.3
/02/2020,-0.5
/03/2020,-7
/04/2020,-20.9
/05/2020,3.2
/06/2020,9
/07/2020,7.4
/08/2020,2
/09/2020,1.1
/10/2020,0.6
/11/2020,-1.8
/12/2020,1.8
/01/2021,-2.9
/02/2021,0.7
/03/2021,2.3
/04/2021,3.1
/05/2021,1.3
/06/2021,1
/07/2021,-0.2
/08/2021,0.9
/09/2021,0.6
/10/2021,0.1
/11/2021,1
/12/2021,0.1
/01/2022,0.1
/02/2022,0
/03/2022,0.1
/04/2022,-0.2
/05/2022,0.7
/06/2022,-0.9
/07/2022,0.3
/08/2022,0
/09/2022,-0.8
/10/2022,0.5
/11/2022,0.1
/12/2022,-0.5
