Drivers Active Per Hour,Riders Active Per Hour,Rides Completed
72,295,202
50,78,43
40,250,181
78,140,124
74,195,108
37,291,172
46,94,79
97,280,166
61,134,99
49,224,51
68,145,70
37,69,29
99,113,93
90,200,81
44,286,196
47,279,248
28,235,147
78,173,100
62,205,80
16,284,217
39,76,64
73,98,64
39,176,52
48,253,68
17,283,182
87,118,98
97,125,110
13,187,157
13,229,189
76,82,70
24,64,51
88,125,79
38,295,36
43,134,119
91,121,101
80,164,149
54,165,79
17,215,91
66,118,77
23,71,58
70,287,234
38,200,142
30,90,50
19,282,108
37,263,56
77,155,81
24,151,95
42,285,260
38,186,109
54,192,120
95,250,214
85,112,85
56,62,49
57,50,
77,204,133
22,227,164
56,255,113
52,215,127
21,285,194
83,174,153
66,244,90
42,93,71
97,207,142
97,150,133
62,79,60
55,176,92
51,69,49
80,294,196
38,286,62
85,165,126
94,109,86
41,205,58
65,262,203
30,79,42
40,111,30
94,255,236
34,228,139
68,108,93
81,128,83
13,51,15
10,230,96
32,88,26
21,171,46
36,171,36
38,242,160
25,166,149
79,114,76
40,176,52
78,202,112
62,198,134
16,69,10
12,74,62
94,291,131
62,247,206
35,78,59
92,201,125
83,84,73
73,197,75
90,272,227
58,264,155
75,246,236
11,191,82
34,235,59
95,250,117
33,201,58
97,126,105
26,129,43
88,53,
51,86,58
86,66,
10,248,9
55,297,135
18,280,143
24,297,149
12,240,36
76,80,70
82,177,165
98,53,
93,144,111
27,190,100
62,207,105
72,200,156
52,187,170
41,175,136
78,137,110
75,55,
28,217,112
81,134,78
81,109,88
83,243,111
78,250,181
62,102,56
60,162,90
88,227,204
32,258,140
34,213,108
66,134,70
68,265,143
60,207,130
52,283,132
49,193,92
65,189,133
33,299,211
44,111,62
46,127,100
98,150,101
59,205,114
91,184,108
50,158,64
83,246,173
48,109,99
86,232,82
13,195,114
23,118,81
93,195,97
89,120,101
60,67,50
69,231,132
60,227,77
71,251,148
14,232,197
59,119,57
98,282,200
19,261,215
40,59,41
58,190,173
36,145,104
