templeName,Description,Location,Coordinates,DistanceFromMumbai(Km),DistanceFromNewDelhi(Km),DistanceFromChennai(Km),DistanceFromKolkata(Km)
"Badrinath Temple | Badrinath, Uttarakhand","The Badrinath temple also known as Badrinarayan is dedicated to Lord Vishnu, particularly his duel forms of Nar and Narayan. Badrinath was re-established as a major pilgrimage site by Adi Shankara in the 9th century. In the 17th century the temple was expanded by the Garhwal kings. Lord Vishnu is found here in a meditative posture flanked by Nar and Narayan. Badrinath is a significant pilgrimage centre for the Vaishnavites. It is also the most important of the Char Dhams.", Badrinath,"(30.7423302, 79.4930256)",1454.013555,323.3093623,1957.065909,1265.717344
"Kedarnath Temple | Kedarnath, Uttarakhand","Located at the highest altitude among the Char Dhams, Kedarnath is the seat of Lord Shiva, the protector and the destroyer. Extremely ancient, the temple has been continually reconstructed over the years. Set amidst snow-capped mountain peaks, the Kedarnath temple presents a magical spectacle.", Kedarnath,"(30.7345609, 79.0673204)",1434.105557,295.986734,1958.477211,1294.937834
"Gangotri Temple | Gangotri, Uttarakhand",The birthplace of the holy River Ganges is in the picturesque mountains of the Himalayas. Gangotri temple is dedicated to Goddess Ganga. The captivating and magical surrounding landscape is breathtakingly beautiful., Gangotri,"(30.9943684, 78.9398699)",1454.357504,312.4430071,1988.071223,1323.391443
"Yamunotri Temple | Yamunotri, Uttarakhand","Located opposite to Gangotri is the sacred shrine of Yamunotri which is also the source of River Yamuna. Surrounded by mountains, the actual source of the river, a frozen lake and a glacier (Champasar) located at an altitude of 4421m is inaccessible. For this reason the shrine is placed at the foot of the hill. The shrine is dedicated to Goddess Yamuna and the deity is made of black marble. The sanctity of the place combined with an ambience of absolute purity and bliss creates a deep feeling of reverence.", Yamunotri,"(30.999214, 78.4626951)",1435.376936,290.8567073,1992.56606,1357.610477
"Har Ki Pauri | Haridwar, Uttarakhand","As one of the oldest living cities of India, Haridwar or the Gateway of the Gods finds a mention in the ancient Hindu scriptures. Haridwar has several bathing ghats and the most sacred among them is Har Ki Pauri, constructed by King Vikramaditya. Taking a dip in the holy waters here is believed to help achieve salvation of ancestors. The evening prayer or Aarti that is performed at dusk on the banks of River Ganges is a hair-raising experience.", Haridwar,"(29.9384473, 78.1452985)",1315.804055,172.7203288,1879.124748,1307.563971
"Neelkanth Mahadev Temple | Rishikesh, Uttarakhand","Located on the outskirts of Rishikesh atop a hill at a height of 1675m is a temple dedicated to Lord Shiva. According to legends, during Samudra Manthan venom that oozed out was ingested by Lord Shiva at this very place and hence the name Neelkanth Mahadeo.", Rishikesh,"(30.1086537, 78.2916193)",1338.886773,196.2123481,1896.168912,1307.628308
"Naina Devi Temple | Nainital, Uttarakhand",Nainital is named after Naina Devi. It is considered to be one of the 52 shakti peeths where the eyes (Naina) of Goddess Sati are believed to have fallen when Lord Shiva carried her body. The Naina Devi temple is thus considered scared by Hindu devotees. The temple was reconstructed after the landslide of 1880 which had devastated it., Nainital,"(29.29478295, 79.41548093726253)",1311.661936,227.9405191,1797.144168,1166.409791
"Kashi Vishwanath Temple | Varanasi, Uttar Pradesh","Kashi Vishwanath Temple is located on the banks of River Ganges at the heart of the oldest surviving city of the world, Varanasi, the cultural capital of India. The Jyotirlinga of Shiva, Vishweshwara or Vishwanath is enshrined in this temple. It is believed that a darshan of the Jyotirlinga will liberate man from the bondages of maya or the earthly entanglements of the world. Millions of devotees undertake a pilgrimage to the Kashi Vishwanath temple for a darshan that will absolve them of their sins and also, if possible, to pour the remains of their cremated ancestors in to River Ganges.", Varanasi,"(25.3356491, 83.0076292)",1252.806685,680.5298711,1386.323612,626.3218837
"Golden Temple | Amritsar, Punjab","The Harmandir Sahib also popularly known as the Golden Temple is a prominent Sikh Gurdwara located in Amritsar. The Gurdawara is not only a place of worship but a symbol of brotherhood and equality. Everyone irrespective of their cast, creed and religious affiliations can seek solace here. The upper floors of the Gurdwara are covered with gold which has lent it the name Golden Temple.  The temple is adorned with exquisite gold and marble work. ", Amritsar,"(31.6343083, 74.8736788)",1405.56366,403.3973699,2127.23597,1671.864818
"Amarnath Temple | Pahalgam, Jammu & Kashmir","Located at an impressive altitude of 3888m, 141km from capital city of Srinagar, this cave temple is dedicated to Lord Shiva. The cave enshrines a lingam which is naturally formed of an ice stalagmite. The cave is covered with snow for major part of the year except for a short period in summer when it becomes accessible to pilgrims. Millions of devotees undertake a challenging journey to Amarnath every year to offer their prayers. It is one of the most fascinating temples of India.", Pahalgam,"(34.01508585, 75.32677908158541)",1672.977247,625.0453111,2371.725669,1799.862219
"Vaishno Devi Temple | Vaishno Devi, Jammu & Kashmir","Located at an altitude of 5300 feet near Katra, Vaishno Devi temple is dedicated to Shakti. Vaishno Devi, also referred to as Mata Rani and Vaishnavi is a manifestation of Mother Goddess. Considered extremely sacred, the Vaishno Devi Temple is visited by approximately 8 million devotees every year. It is the second most visited shrine after Tirumala Venkateshwara Temple in Andhra Pradesh.", Vaishno Devi,"(33.027399, 74.945375)",1559.382643,535.0572379,2274.194167,1756.980309
"Shankaracharya Temple | Srinagar, Jammu & Kashmir",Overlooking the city of Srinagar at a height of 1000 feet is the Shankaracharya temple which dates back to 200 B.C. The temple in its present form has been in existence since the 9th century A.D and is dedicated to Lord Shiva. The temple was visited by Adi Shankara and since then it has been associated with him., Srinagar,"(34.0747444, 74.8204443)",1672.996246,646.6676171,2389.4607,1839.477615
"Akshardham Temple | New Delhi, Delhi","Spread over an area of hundred acres, the Akshardham temple inaugurated in 2005 is a tribute to and epitomises a millennia of Indian culture, ancient architecture and spirituality. There are various structures within the temple complex which depict history and culture of Indian religion. The impressive monument can be seen as a fusion of different architectural styles from across India. Built of Rajasthani pink sandstone and Italian Carrara marble, the main temple is dedicated to Lord Swaminarayan.", New Delhi,"(28.6138954, 77.2090057)",1144.539256,0,1748.515819,1305.58452
"Lotus Temple | New Delhi, Delhi","Lotus Temple is a Bahai House of Worship that was completed in 1986. Bahai Faith is a world religion which seeks to unite all races and people under one common faith. Built in the shape of a lotus flower, the temple has won accolades since it came into existence and has become a major tourist attraction of the capital city. The temple has nine doors which lead to a central hall devoid of pictures, statues or idols. The temple along with the surrounding ponds and gardens spread over an area of 26 acres.", New Delhi,"(28.6138954, 77.2090057)",1144.539256,0,1748.515819,1305.58452
"Birla Mandir | New Delhi, Delhi","Birla Mandir also known as the Laxminarayan temple is dedicated to Laxminarayan. Built in the 1930s the mandir was inaugurated by Mahatma Gandhi and has since become a major tourist and pilgrim destination of Delhi. On Hindu festivals of Janmashtami and Diwali, thousands of devotees visit the temple to offer their prayers. Built in the Nagara style of architecture, the temple is adorned with rich carvings depicting scenes from the Hindu mythology.", New Delhi,"(28.6138954, 77.2090057)",1144.539256,0,1748.515819,1305.58452
"ISKON Temple | New Delhi, Delhi","Sri Sri Radha Parthasarathi Mandir also known as ISKON temple located at Hare Krishna Hills is a Vaishnava temple dedicated to Lord Krishna and Radharani. The ISKON temple boasts of one of the largest temple complexes in India with rooms for priests, service renders etc. The temple follows a strict standard of worship with six aratis and six bhoga offerings made to the deities each day.", New Delhi,"(28.6138954, 77.2090057)",1144.539256,0,1748.515819,1305.58452
"Jwalamukhi Temple | Kangra, Himachal Pradesh","In the Kangra Valley of Himachal Pradesh lies the temple of Jwalamukhi, the Goddess with flaming mouth. In the temple there is a copper pipe through which natural gas comes out and the priest lights this. This is taken as a manifestation of the goddess Jwalamukhi. The temple houses no deities. The Goddess is worshipped in the form of the flames that come out from the crevices of the rock. The temple is also considered to be one of the 52 Shakti Peethas. ", Kangra,"(32.06854705, 76.24336792335127)",1478.291352,394.0650924,2142.318959,1595.414736
"Konark Sun Temple, Orissa","A dream crafted in stones, Konark Sun temple is a stunning creation of man. A 13th century construction, the Sun Temple marks the culmination of temple architecture of Orissa. Even in its ruins today the Konark Sun Temple is magnificence personified. Located 65km from the capital city of Bhubaneswar in Konark, the temple is dedicated to the Sun God. The temple built in the shape of an enormous chariot, with twelve pairs of wheels and drawn by seven horses is a stunner.",,"(46.3144754, 11.0480288)",6345.522996,5987.434545,7374.45296,7275.959203
"Rajarani Temple | Bhubaneshwar, Orissa","A symbol of perfection, beauty and grace, the Rajarani Temple is considered by many as a masterpiece. Many refer to it as a ‘love temple’ owing to the erotic carvings on the walls of the temple. The temple has no presiding deity.", Bhubaneshwar,"(20.2602964, 85.8394521)",1365.207987,1272.654102,991.5069311,363.262575
"Lingaraj Temple | Bhubaneshwar, Orissa","The Kalinga style of architecture which developed in Odisha is nowhere better manifested than the Lingaraj Temple dating back to 1000 A.D, dedicated to Lord Shiva. Built of sandstone and laterite, it is the grandest, most fascinating and undoubtedly the largest temple in Bhubaneswar.", Bhubaneshwar,"(20.2602964, 85.8394521)",1365.207987,1272.654102,991.5069311,363.262575
"Mukteswar Temple | Bhubaneshwar, Orissa","Dedicated to Lord Shiva, the Mukteswar Temple is the Gem of Odisha. The exquisite carvings and sculptures that adorn the temple are spellbinding and charming. The temple is essential in any study of the development of Hindu temples in Odisha. It marks the culmination of all earlier artistic initiatives and stylistic developments of temple architecture in the state.", Bhubaneshwar,"(20.2602964, 85.8394521)",1365.207987,1272.654102,991.5069311,363.262575
